Table:CsvModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,res:s,texReplace:s,selRadius:f,selHeight:f,selYOffset:f,halfWidth:f,originalHeight:f,attackDis1:f,attackDis2:f,attackDis3:f,scaleDelta:f,attackProcessType1:AttackProcessType,attackProcessType2:AttackProcessType,attackProcessType3:AttackProcessType,attackNode1:s,attackNode2:s,attackNode3:s,hurtNode1:s,otherNode1:s,otherNode2:s,otherNode3:s,deadSound:s,facePositionStr:s,faceRotationStr:s,l_conversationPositionStr:s,l_conversationRotationStr:s,r_conversationPositionStr:s,r_conversationRotationStr:s,delayDownload,replaceTid
173,恐怖图腾,kongbututeng_01,kongbututeng_01,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-2,1.37","0,169.34,0","-0.044,-1.3,2.7","0,159,0","-0.044,-1.3,2.7","0,198,0",0,4
174,兽人酋长,shourenqiuzhang_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.6,1.33","0,163.5,0","-0.044,-1.2,2.6","0,152,0","-0.044,-1.2,2.8","0,195,0",25,4
175,银白十字军,tiliaofuding_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.5,0.99","0,160.36,0","0,-0.95,2","0,153,0","0,-0.89,2.2","0,200,0",0,4
176,女兽人,nvshouren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.4,1.01","0,164.1,0","-0.044,-1.1,2.4","0,160,0","-0.044,-1.1,2.4","0,201,0",25,4
177,红熔岩蜘蛛,rongyanzhizhu_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-0.4,1.01","0,164.1,0","-0.044,-0.6,2.2","0,160,0","0.1,-0.6,2.2","0,188,0",70,4
178,水晶蜘蛛,shuijingzhizhu_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.1,-0.3,1.2","15.21,143.75,317.1","0.13,-0.76,2.2","0,159,0","0.13,-0.76,2.2","0,204,0",43,4
179,暗矛巨魔,wojin_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程2,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1,1.5","10.37,162.5,359","-0.044,-1,2.2","0,158,0","-0.044,-1,2.2","0,212,0",0,4
180,雪人,xueren_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.11,-1.61,1.84","8.6,154.57,357.85","-0.044,-1.2,2.7","0,160,0","-0.044,-1.2,2.7","0,160,0",37,4
181,土色蝎子,xiezi_01,xiezi_02,0.75,3.5,,0.5,1.5,1,1,1,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-0.6,1","0,163.87,0","-0.01,-0.7,2.16","0,152,0","-0.01,-0.58,2.16","16.24,214.99,4.44",46,4
182,黄老虎,xiaolaohu_01,xiaobaihu_03,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-0.81,2.02","0,150.3699,0","-0.17,-0.95,2.68","0,137,0","0.24,-0.95,2.68","0,218.51,0",49,4
183,绿色软泥怪,ruanniguai_01,ruanniguai_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.4,1.01","0,164.1,0","-0.044,-1,2.2","0,152,0","0,-1,2.2","0,198,0",55,4
184,绿熔岩蜘蛛,rongyanzhizhu_01,rongyanzhizhu_02,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-0.4,1.01","0,164.1,0","-0.044,-0.6,2.2","0,160,0","0.1,-0.6,2.2","0,188,0",37,4
185,绿沙怒刽子手,shanuguizishou_01,shanuguizishou_02,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.05,-1.16,1","0,163.87,0","-0.1,-1,2.16","0,148,0","0,-0.9,2.16","0,209,0",49,4
186,法莫斯队长,famosiduizhang_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.45,0.95","0,154.97,0","0,-1,2","0,147,0","0,-0.95,2","0,202,0",0,4
187,女巨人,nvjuren_01,,0.75,3.5,,0.5,3.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2.4,1.9","0,152.41,0","0,-1.69,3.5","0,152,0","0,-1.55,3.5","0,193,0",46,4
188,双头食人魔,shuangtoushirenmo_01,,0.75,3.5,,0.5,2.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.15,-2,1.63","0,148.53,0","0,-1.29,3","0,149.13,0","0,-1.29,3","0,202,0",35,4
189,巫医,wuyi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.3,1.3","0,163,0","0,-1.01,2.2","0,150.8,0","0,-1.01,2.2","0,198,0",0,4
190,沙顶酋长,wukezishading_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.2,-1.44,1.41","0,143.75,0","0,-1.15,2.6","0,162,0","0.1,-1,2.6","0,196,0",0,4
191,督军,antusuer_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.3,1.3","0,157.8,0","-0.1,-1.1,2.5","0,156.67,0","0,-1,2.6","0,197,0",0,4
192,被诅咒的塞雷布拉斯,beizuzhoudesaileibulasi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip02 L Finger1,,,,"-0.05,-1.55,1.2","0,156.18,0","0,-1.4,3","0,151.8,0","0,-1.2,2.61","0,206.56,0",0,4
193,鞭笞者沃尔沙,jiaziruila_01,jiaziruila_03,0.75,3.5,,0.5,2.5,1,1,1,0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.01,-2.37,3.17","0,155.41,0","-0.01,-2.08,4.99","0,146,0","-0.01,-2.08,4.99","0,209,0",28,4
194,黑豹,baozi_01,baozi_02,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.6,-0.8,2.37","0,149.76,0","-0.4,-0.8,2.58","0,147,0","0.7,-0.8,2.58","0,217.97,0",0,4
195,马迪亚斯肖尔,madiyasixiaoer_01,madiyasixiaoer_01,0.75,3.5,,0.5,1.5,1,1,1,,普通近战,普通远程2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.15,-2.1,1.28","0,149.76,0","-0.02,-1.45,3","0,149,0","-0.02,-1.45,3","0,149,0",0,4
196,废土暗法师,feituanfashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.49,0.89","0,147.3,0","-0.02,-1.07,2.13","0,149.95,0","-0.02,-0.95,2.13","0,204,0",52,4
197,哈卡的化身,hakadehuashen_01,,0.75,3.5,,0.5,5,1,1,1,,普通远程,普通远程2,普通远程3,Bone24,Bone24,Bone24,Bip01,,,,,"-1.1,-5,2.93","0,140.32,0","-0.02,-4.33,5.3","0,147.26,0","-0.02,-4.33,5.3","0,215.7,0",64,4
198,卡利夫,kalifu_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.36,1.35","0,162.06,0","-0.044,-1.07,2.2","0,155.49,0","-0.044,-0.95,2.2","0,191.4,0",0,4
199,人马督军,renmadujun_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.6,1.35","0,162.06,0","-0.044,-1.07,2.5","0,151,0","0.15,-0.9,2.5","0,216,0",22,4
200,预言者,yuyanzhejiamalan_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.2,1.24","0,149.76,0","-0.02,-1,2.15","0,138,0","0,-0.85,2.15","0,200,0",0,4
201,邪恶祭司海克斯,xieejisihaikesi_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.4,1.5","0,158.23,0","-0.02,-0.96,2.2","0,151,0","0.2,-0.96,2.2","0,194,0",67,4
202,龙喉兽人酋长,longhoushourenqiuzhang_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.36,1.26","0,162.06,0","-0.044,-1,2.29","0,158,0","0.19,-0.85,2.29","0,197,0",31,4
203,女巨人2,nvjuren_01,nvjuren_02,0.75,3.5,,0.5,3.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2.4,1.9","0,152.41,0","0,-1.69,3.5","0,161,0","0,-1.69,3.5","0,201,0",46,4
204,黑色龙人战士,longrenzhanshi_01,,0.75,3.5,,0.5,1.95,1,1,1,0.25,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.83,2.22","0,156.49,0","0,-1.28,3.42","0,148.27,0","0,-1.28,3.42","0,148.27,0",40,4
205,绿色龙人战士,longrenzhanshi_01,longrenzhanshi_02,0.75,3.5,,0.5,1.95,1,1,1,0.25,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.83,2.22","0,156.49,0","0,-1.28,3.42","0,148.27,0","0,-1.28,3.42","0,148.27,0",64,4
206,蓝色龙人战士,longrenzhanshi_01,longrenzhanshi_03,0.75,3.5,,0.5,1.95,1,1,1,0.25,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.83,2.22","0,156.49,0","0,-1.28,3.42","0,148.27,0","0,-1.28,3.42","0,148.27,0",70,4
207,审讯官格斯特恩,shenxunguangesitaen_01,,0.75,3.5,,0.5,1.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.43,0.72","0,153.38,0","-0.02,-0.98,2.02","0,151.95,0","-0.02,-0.98,2.02","0,151.95,0",0,4
208,塞纳留斯,sainaliusi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip02 R Finger11,Bip02 R Finger11,Bip02 R Finger11,Bip01,Bip02 L Finger1,Bip02 R Finger1,,,"-0.05,-1.65,1.3","0,156.18,0","0,-1.2,2.8","0,149.41,0","0,-1.2,2.8","0,149.41,0",0,4
209,蓝色鹰身人,yingshenren_01,yingshenren_02,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.05,-1.9,1","0,160.19,0","0,-1.4,2.1","0,145,0","0,-1.4,2.1","0,218,0",22,4
210,大德鲁伊,fandaerlukui_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,Bip01 Spine,,"-0.3,-0.82,1.8","0,154.45,0","-0.4,-0.8,2.3","0,128,0","0.29,-0.8,2.3","0,227,0",0,4
211,厄运王子,tuosaidelinwangzi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-1.3,1.35","0,150.26,0","-0.044,-1.07,2.2","0,146,0","-0.044,-0.9,2.2","0,196,0",76,4
212,食人魔大王,shirenmodawang_01,,0.75,3.5,,0.5,2.5,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2.45,1.3","0,163.2,0","-0.044,-1.4,3.2","0,154,0","-0.044,-1.4,3.2","0,154,0",40,4
213,熔岩巨人,rognyanjuren_01,,0.75,3.5,,0.5,3.2,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-2.6,2.64","0,161.1,0","-0.044,-1.8,4","0,153,0","-0.044,-1.8,4","0,153,0",100,4
214,图拉扬,tulayang_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.5,0.9","0,157.75,0","-0.044,-1,2.45","0,155,0","-0.044,-1,2.45","0,155,0",0,4
215,符文图腾,fuwentuteng_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bone06,Bone06,Bone06,Bip01,,,,,"0,-1.28,1.6","0,162.26,0","-0.044,-1.1,2.48","0,158.61,0","-0.044,-1.1,2.48","0,158.61,0",0,4
216,扭曲者维林尼亚斯,niuquzheweilinniyasi_01,,0.75,3.5,,0.5,2.5,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.1,-2,2","0,162.26,0","0.13,-1.29,3.7","0,163.26,0","0.13,-1.29,3.7","0,163.26,0",0,4
217,弗诺斯达克维尔,funuosidakeweier_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.08,-1.2,0.9","0,158.2,0","-0.044,-0.8,1.9","0,158.2,0","-0.044,-0.8,1.9","0,158.2,0",0,4
218,塔隆血魔,talongxuemo_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.6,0.8","0,162.26,0","-0.044,-1.1,2.2","0,148.1,0","-0.044,-1.1,2.2","0,148.1,0",6,4
219,翼龙,yilong_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.15,-1.4,1","0,162.26,0","-0.044,-1.3,2","0,150,0","-0.044,-1.3,2","0,150,0",70,4
220,猩猩,xingxing_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通近战,普通近战2,普通近战3,gongji01,gongji02,gongji02,shouchuang01,,,,,"-0.2,-1.46,2.1","0,154,0","0.08,-1.11,2.84","0,162.93,0","0.08,-1.11,2.84","0,162.93,0",70,4
221,达里安莫格莱尼,dalianmogelaini_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.22,2.45","0,156.91,0","0,-1.22,2.45","0,156.91,0","0,-1.22,2.45","0,156.91,0",0,4
222,讲师玛丽希亚 ,jiangshimalixiya_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.04,-1.37,1.2","0,153.7,0","0,-1.06,2.2","0,158.5,0","0,-1.06,2.2","0,158.5,0",0,4
223,驯犬者不带狗,xunquanzhe_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.05,-1.39,1.12","0,160.23,0","-0.044,-1.02,2.32","0,143,0","-0.044,-1.02,2.32","0,143,0",0,4
224,骷髅法师,kuloufashi_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 L Finger11,Bip01 L Finger12,Bip01 L Finger13,Bip01,,,Bip01 Head,,"-0.044,-1.02,2.32","0,138,0","0,-1.02,2.2","0,149.3,0","0,-1.02,2.2","0,149.3,0",80,4
225,石像鬼,shixianggui_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,Bip01 L Finger11,Bip01 L Finger12,Bip01 L Finger13,Bip01,,,Bip01 Head,,"-0.044,-1.02,2.32","0,180,0","-0.044,-1.9,2.32","0,157.28,0","-0.044,-1.9,2.32","0,157.28,0",80,4
226,大法师阿塔瑞克 ,dafashiataruike_01,,0.75,3.5,,0.5,1.95,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.01,2.2","0,180,0","0,-1.2,2.4","0,143.8,0","0,-1.2,2.4","0,143.8,0",80,4
227,瑞文戴尔男爵 ,ruiwendaiernanjue_01,,0.75,3.5,,0.5,2.2,1,1,1,,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.01,2.2","0,180,0","-0.1,-1.2,2.8","0,135.1,0","-0.1,-1.2,2.8","0,135.1,0",80,4
228,鳄鱼,eyu_01,,0.75,3.5,,0.5,1.95,1,1,1,-0.5,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.35,-0.55,2.2","0,155.7,0","-1.47,-1.99,6.07","0,148,0","-1.47,-1.99,6.07","0,148,0",0,4
229,凯尔萨斯变麦迪文,maidiwen_02,maidiwen_01,0.75,3.5,,0.5,2,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone23,Bone23,Bone23,Bip01,,,,,"0.01,-1.96,1.8","0,167.8,0","-0.05,-1.45,3.42","0,158,0","0.07,-1.45,3.42","0,201,0",200,4
230,安东尼大师变麦迪文,maidiwen_03,maidiwen_01,0.75,3.5,,0.5,2,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone23,Bone23,Bone23,Bip01,,,,,"0.01,-1.96,1.8","0,167.8,0","-0.05,-1.45,3.42","0,158,0","0.07,-1.45,3.42","0,201,0",201,4
231,克总变麦迪文,maidiwen_04,maidiwen_01,0.75,3.5,,0.5,2,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone23,Bone23,Bone23,Bip01,,,,,"0.01,-1.96,1.8","0,167.8,0","-0.05,-1.45,3.42","0,158,0","0.07,-1.45,3.42","0,201,0",202,4
232,凯尔萨斯变吉安娜,jianna_02,"jianna_01,jianna_02",0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone02,Bone02,Bone02,Bip01,,,,,"-0.04,-2,1.45","0,158,0","0,-1.44,3.18","0,143,0","0,-1.44,3.18","0,202,0",203,4
233,安东尼大师变吉安娜,jianna_03,"jianna_01,jianna_02",0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone02,Bone02,Bone02,Bip01,,,,,"-0.04,-2,1.45","0,158,0","0,-1.44,3.18","0,143,0","0,-1.44,3.18","0,202,0",204,4
234,克总变吉安娜,jianna_04,"jianna_01,jianna_02",0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone02,Bone02,Bone02,Bip01,,,,,"-0.04,-2,1.45","0,158,0","0,-1.44,3.18","0,143,0","0,-1.44,3.18","0,202,0",205,4
235,大主教变安度因,anduyinwuruien_02,anduyinwuruien_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,Bip01,gongji01,gongji02,,"0.01,-1.96,1.33","0,163.87,0","-0.01,-1.34,3","4.1,148.54,-1.81","-0.01,-1.34,3","3.1,197,1.06",206,4
236,先知变安度因,anduyinwuruien_03,anduyinwuruien_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji02,gongji02,gongji02,Bip01,Bip01,gongji01,gongji02,,"0.01,-1.96,1.33","0,163.87,0","-0.01,-1.34,3","4.1,148.54,-1.81","-0.01,-1.34,3","3.1,197,1.06",207,4
237,大主教变泰兰德,tailande_02,tailande_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01,,gongji01,,"0.01,-2.1,1.6","5.8,158.25,2.1","0,-1.4,3.04","0,153,0","0,-1.4,3.04","0,198,0",208,4
238,先知变泰兰德,tailande_03,tailande_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01,,gongji01,,"0.01,-2.1,1.6","5.8,158.25,2.1","0,-1.4,3.04","0,153,0","0,-1.4,3.04","0,198,0",209,4
239,地狱咆哮变阿比迪斯,abidisijiangjun_02,abidisijiangjun_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2,1.9","8.52,168.24,354.6","0,-1.45,3.21","0,159,0","0,-1.45,3.21","0,197,0",210,4
240,凯恩血蹄变阿比迪斯,abidisijiangjun_03,abidisijiangjun_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2,1.9","8.52,168.24,354.6","0,-1.45,3.21","0,159,0","0,-1.45,3.21","0,197,0",211,4
241,山丘之王变阿比迪斯,abidisijiangjun_04,abidisijiangjun_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2,1.9","8.52,168.24,354.6","0,-1.45,3.21","0,159,0","0,-1.45,3.21","0,197,0",212,4
242,地狱咆哮变加尔鲁什,jiaerlushen_02,jiaerlushen_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.04,-1.86,1.88","0,168.243,0","0.14,-1.45,3.21","0,147,0","0.14,-1.45,3.21","0,198,0",213,4
243,凯恩血蹄变加尔鲁什,jiaerlushen_03,jiaerlushen_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.04,-1.86,1.88","0,168.243,0","0.14,-1.45,3.21","0,147,0","0.14,-1.45,3.21","0,198,0",214,4
244,山丘之王变加尔鲁什,jiaerlushen_04,jiaerlushen_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通远程2,普通远程3,Bip01 Prop1,gongji01,gongji01,Bip01,,,,,"-0.04,-1.86,1.88","0,168.243,0","0.14,-1.45,3.21","0,147,0","0.14,-1.45,3.21","0,198,0",215,4
245,鹿盔变艾维娜,aiweina_02,aiweina_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,Bip01 Spine,,"0,-2.2,1.34","0,162.99,0","0,-1.7,2.64","0,149,0","0,-1.7,3.21","0,210,0",216,4
246,符文图腾变艾维娜,aiweina_03,aiweina_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone06,Bone06,Bone06,Bip01,,,,,"0,-2.2,1.34","0,162.99,0","0,-1.7,2.64","0,149,0","0,-1.7,3.21","0,210,0",217,4
247,塞纳留斯变艾维娜,aiweina_04,aiweina_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,Bip01 L Finger1,Bip01 R Finger1,,,"0,-2.2,1.34","0,162.99,0","0,-1.7,2.64","0,149,0","0,-1.7,3.21","0,210,0",218,4
248,鹿盔变玛法里奥,mafaliao_02,mafaliao_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,Bip01 Spine,,"0,-2.16,1.6","0,159.4,0","-0.04,-1.7,3.43","0,161,0","-0.04,-1.7,3.43","0,195,0",219,4
249,符文图腾变玛法里奥,mafaliao_03,mafaliao_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone06,Bone06,Bone06,Bip01,,,,,"0,-2.16,1.6","0,159.4,0","-0.04,-1.7,3.43","0,161,0","-0.04,-1.7,3.43","0,195,0",220,4
250,塞纳留斯变玛法里奥,mafaliao_04,mafaliao_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Finger0,Bip01 R Finger0,,,"0,-2.16,1.6","0,159.4,0","-0.04,-1.7,3.43","0,161,0","-0.04,-1.7,3.43","0,195,0",221,4
251,鸡蛋变鲜血女王,xianxuenvwang_02,xianxuenvwang_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通近战3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"-0.04,-2,1.63","0,159.6,0","0,-1.45,3","0,152,0","0,-1.45,3","0,201,0",222,4
252,恐惧魔王变鲜血女王,xianxuenvwang_03,xianxuenvwang_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"-0.04,-2,1.63","0,159.6,0","0,-1.45,3","0,152,0","0,-1.45,3","0,201,0",223,4
253,寇加尔变鲜血女王,xianxuenvwang_04,xianxuenvwang_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"-0.04,-2,1.63","0,159.6,0","0,-1.45,3","0,152,0","0,-1.45,3","0,201,0",224,4
254,鸡蛋变古尔丹,guerdan_02,guerdan_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通近战3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0.09,-1.62,1.42","0,163.87,0","-0.01,-1.35,3","0,154,0","-0.01,-1.35,3","0,197,0",225,4
255,恐惧魔王变古尔丹,guerdan_03,guerdan_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0.09,-1.62,1.42","0,163.87,0","-0.01,-1.35,3","0,154,0","-0.01,-1.35,3","0,197,0",226,4
256,寇加尔变古尔丹,guerdan_04,guerdan_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 R Finger1,Bip01 R Finger1,Bip01 R Finger1,Bip01,,,,,"0.09,-1.62,1.42","0,163.87,0","-0.01,-1.35,3","0,154,0","-0.01,-1.35,3","0,197,0",227,4
