Table:CsvDropMgr,,,,
tid,name:s,group,probability,sub_group
11105202,征战-第11章-第05关-2星-战魂,111052,10000,11105202
11105203,征战-第11章-第05关-2星-一级升级材料2,111052,10000,11105203
11105204,,111052,1000,11105204
11105205,,111052,10,11105205
11106201,征战-第11章-第06关-2星-铜币,111062,10000,11106201
11106202,征战-第11章-第06关-2星-战魂,111062,10000,11106202
11107201,征战-第11章-第07关-2星-铜币,111072,10000,11107201
11107202,征战-第11章-第07关-2星-战魂,111072,10000,11107202
11108201,征战-第11章-第08关-2星-铜币,111082,10000,11108201
11108202,征战-第11章-第08关-2星-战魂,111082,10000,11108202
11109201,征战-第11章-第09关-2星-铜币,111092,10000,11109201
11109202,征战-第11章-第09关-2星-战魂,111092,10000,11109202
11109203,征战-第11章-第09关-2星-一级升级材料3,111092,10000,11109203
11109204,,111092,1000,11109204
11109205,,111092,10,11109205
11110201,征战-第11章-第10关-2星-铜币,111102,10000,11110201
11110202,征战-第11章-第10关-2星-战魂,111102,10000,11110202
11110203,征战-第11章-第10关-2星-一级升级材料4,111102,10000,11110203
11110204,,111102,1000,11110204
11201201,征战-第12章-第01关-2星-铜币,112012,10000,11201201
11201202,征战-第12章-第01关-2星-战魂,112012,10000,11201202
11202201,征战-第12章-第02关-2星-铜币,112022,10000,11202201
11202202,征战-第12章-第02关-2星-战魂,112022,10000,11202202
11203201,征战-第12章-第03关-2星-铜币,112032,10000,11203201
11203202,征战-第12章-第03关-2星-战魂,112032,10000,11203202
11204201,征战-第12章-第04关-2星-铜币,112042,10000,11204201
11204202,征战-第12章-第04关-2星-战魂,112042,10000,11204202
11205201,征战-第12章-第05关-2星-铜币,112052,10000,11205201
11205202,征战-第12章-第05关-2星-战魂,112052,10000,11205202
11205203,征战-第12章-第05关-2星-一级升级材料1,112052,10000,11205203
11205204,,112052,1000,11205204
11205205,,112052,10,11205205
11206201,征战-第12章-第06关-2星-铜币,112062,10000,11206201
11206202,征战-第12章-第06关-2星-战魂,112062,10000,11206202
11207201,征战-第12章-第07关-2星-铜币,112072,10000,11207201
11207202,征战-第12章-第07关-2星-战魂,112072,10000,11207202
11208201,征战-第12章-第08关-2星-铜币,112082,10000,11208201
11208202,征战-第12章-第08关-2星-战魂,112082,10000,11208202
11209201,征战-第12章-第09关-2星-铜币,112092,10000,11209201
11209202,征战-第12章-第09关-2星-战魂,112092,10000,11209202
11209203,征战-第12章-第09关-2星-一级升级材料3,112092,10000,11209203
11209204,,112092,1000,11209204
11209205,,112092,10,11209205
11210201,征战-第12章-第10关-2星-铜币,112102,10000,11210201
11210202,征战-第12章-第10关-2星-战魂,112102,10000,11210202
11210203,征战-第12章-第10关-2星-一级升级材料4,112102,10000,11210203
11210204,,112102,1500,11210204
11301201,征战-第13章-第01关-2星-铜币,113012,10000,11301201
11301202,征战-第13章-第01关-2星-战魂,113012,10000,11301202
11302201,征战-第13章-第02关-2星-铜币,113022,10000,11302201
11302202,征战-第13章-第02关-2星-战魂,113022,10000,11302202
11303201,征战-第13章-第03关-2星-铜币,113032,10000,11303201
11303202,征战-第13章-第03关-2星-战魂,113032,10000,11303202
11304201,征战-第13章-第04关-2星-铜币,113042,10000,11304201
11304202,征战-第13章-第04关-2星-战魂,113042,10000,11304202
11305201,征战-第13章-第05关-2星-铜币,113052,10000,11305201
11305202,征战-第13章-第05关-2星-战魂,113052,10000,11305202
11305203,征战-第13章-第05关-2星-二级升级材料1,113052,10000,11305203
11305204,,113052,1000,11305204
11305205,,113052,10,11305205
11306201,征战-第13章-第06关-2星-铜币,113062,10000,11306201
11306202,征战-第13章-第06关-2星-战魂,113062,10000,11306202
11307201,征战-第13章-第07关-2星-铜币,113072,10000,11307201
11307202,征战-第13章-第07关-2星-战魂,113072,10000,11307202
11308201,征战-第13章-第08关-2星-铜币,113082,10000,11308201
11308202,征战-第13章-第08关-2星-战魂,113082,10000,11308202
11309201,征战-第13章-第09关-2星-铜币,113092,10000,11309201
11309202,征战-第13章-第09关-2星-战魂,113092,10000,11309202
11309203,征战-第13章-第09关-2星-二级升级材料2,113092,10000,11309203
11309204,,113092,1000,11309204
11309205,,113092,10,11309205
11310201,征战-第13章-第10关-2星-铜币,113102,10000,11310201
11310202,征战-第13章-第10关-2星-战魂,113102,10000,11310202
11310203,征战-第13章-第10关-2星-二级升级材料3,113102,10000,11310203
11310204,,113102,1000,11310204
11401201,征战-第14章-第01关-2星-铜币,114012,10000,11401201
11401202,征战-第14章-第01关-2星-战魂,114012,10000,11401202
11402201,征战-第14章-第02关-2星-铜币,114022,10000,11402201
11402202,征战-第14章-第02关-2星-战魂,114022,10000,11402202
11403201,征战-第14章-第03关-2星-铜币,114032,10000,11403201
11403202,征战-第14章-第03关-2星-战魂,114032,10000,11403202
11404201,征战-第14章-第04关-2星-铜币,114042,10000,11404201
11404202,征战-第14章-第04关-2星-战魂,114042,10000,11404202
11405201,征战-第14章-第05关-2星-铜币,114052,10000,11405201
11405202,征战-第14章-第05关-2星-战魂,114052,10000,11405202
11405203,征战-第14章-第05关-2星-二级升级材料1,114052,10000,11405203
11405204,,114052,1000,11405204
11405205,,114052,10,11405205
11406201,征战-第14章-第06关-2星-铜币,114062,10000,11406201
11406202,征战-第14章-第06关-2星-战魂,114062,10000,11406202
11407201,征战-第14章-第07关-2星-铜币,114072,10000,11407201
11407202,征战-第14章-第07关-2星-战魂,114072,10000,11407202
11408201,征战-第14章-第08关-2星-铜币,114082,10000,11408201
11408202,征战-第14章-第08关-2星-战魂,114082,10000,11408202
11409201,征战-第14章-第09关-2星-铜币,114092,10000,11409201
11409202,征战-第14章-第09关-2星-战魂,114092,10000,11409202
11409203,征战-第14章-第09关-2星-二级升级材料2,114092,10000,11409203
11409204,,114092,1000,11409204
11409205,,114092,10,11409205
11410201,征战-第14章-第10关-2星-铜币,114102,10000,11410201
11410202,征战-第14章-第10关-2星-战魂,114102,10000,11410202
11410203,征战-第14章-第10关-2星-二级升级材料3,114102,10000,11410203
11410204,,114102,1500,11410204
11501201,征战-第15章-第01关-2星-铜币,115012,10000,11501201
11501202,征战-第15章-第01关-2星-战魂,115012,10000,11501202
11502201,征战-第15章-第02关-2星-铜币,115022,10000,11502201
11502202,征战-第15章-第02关-2星-战魂,115022,10000,11502202
11503201,征战-第15章-第03关-2星-铜币,115032,10000,11503201
11503202,征战-第15章-第03关-2星-战魂,115032,10000,11503202
11504201,征战-第15章-第04关-2星-铜币,115042,10000,11504201
11504202,征战-第15章-第04关-2星-战魂,115042,10000,11504202
11505201,征战-第15章-第05关-2星-铜币,115052,10000,11505201
11505202,征战-第15章-第05关-2星-战魂,115052,10000,11505202
11505203,征战-第15章-第05关-2星-二级升级材料1,115052,10000,11505203
11505204,,115052,1000,11505204
11505205,,115052,10,11505205
11506201,征战-第15章-第06关-2星-铜币,115062,10000,11506201
11506202,征战-第15章-第06关-2星-战魂,115062,10000,11506202
11507201,征战-第15章-第07关-2星-铜币,115072,10000,11507201
11507202,征战-第15章-第07关-2星-战魂,115072,10000,11507202
11508201,征战-第15章-第08关-2星-铜币,115082,10000,11508201
11508202,征战-第15章-第08关-2星-战魂,115082,10000,11508202
11509201,征战-第15章-第09关-2星-铜币,115092,10000,11509201
11509202,征战-第15章-第09关-2星-战魂,115092,10000,11509202
11509203,征战-第15章-第09关-2星-二级升级材料2,115092,10000,11509203
11509204,,115092,1000,11509204
11509205,,115092,10,11509205
11510201,征战-第15章-第10关-2星-铜币,115102,10000,11510201
11510202,征战-第15章-第10关-2星-战魂,115102,10000,11510202
11510203,征战-第15章-第10关-2星-二级升级材料3,115102,10000,11510203
11510204,,115102,1000,11510204
11601201,征战-第16章-第01关-2星-铜币,116012,10000,11601201
11601202,征战-第16章-第01关-2星-战魂,116012,10000,11601202
11602201,征战-第16章-第02关-2星-铜币,116022,10000,11602201
11602202,征战-第16章-第02关-2星-战魂,116022,10000,11602202
11603201,征战-第16章-第03关-2星-铜币,116032,10000,11603201
11603202,征战-第16章-第03关-2星-战魂,116032,10000,11603202
11604201,征战-第16章-第04关-2星-铜币,116042,10000,11604201
11604202,征战-第16章-第04关-2星-战魂,116042,10000,11604202
11605201,征战-第16章-第05关-2星-铜币,116052,10000,11605201
11605202,征战-第16章-第05关-2星-战魂,116052,10000,11605202
11605203,征战-第16章-第05关-2星-二级升级材料4-1,116052,10000,11605203
11605204,,116052,1000,11605204
11605205,,116052,10,11605205
11606201,征战-第16章-第06关-2星-铜币,116062,10000,11606201
11606202,征战-第16章-第06关-2星-战魂,116062,10000,11606202
11607201,征战-第16章-第07关-2星-铜币,116072,10000,11607201
11607202,征战-第16章-第07关-2星-战魂,116072,10000,11607202
11608201,征战-第16章-第08关-2星-铜币,116082,10000,11608201
11608202,征战-第16章-第08关-2星-战魂,116082,10000,11608202
11609201,征战-第16章-第09关-2星-铜币,116092,10000,11609201
11609202,征战-第16章-第09关-2星-战魂,116092,10000,11609202
11609203,征战-第16章-第09关-2星-二级升级材料1,116092,10000,11609203
11609204,,116092,1000,11609204
11609205,,116092,10,11609205
11610201,征战-第16章-第10关-2星-铜币,116102,10000,11610201
11610202,征战-第16章-第10关-2星-战魂,116102,10000,11610202
11610203,征战-第16章-第10关-2星-二级升级材料2,116102,10000,11610203
11610204,,116102,1500,11610204
11701201,征战-第17章-第01关-2星-铜币,117012,10000,11701201
11701202,征战-第17章-第01关-2星-战魂,117012,10000,11701202
11702201,征战-第17章-第02关-2星-铜币,117022,10000,11702201
11702202,征战-第17章-第02关-2星-战魂,117022,10000,11702202
11703201,征战-第17章-第03关-2星-铜币,117032,10000,11703201
11703202,征战-第17章-第03关-2星-战魂,117032,10000,11703202
11704201,征战-第17章-第04关-2星-铜币,117042,10000,11704201
11704202,征战-第17章-第04关-2星-战魂,117042,10000,11704202
11705201,征战-第17章-第05关-2星-铜币,117052,10000,11705201
11705202,征战-第17章-第05关-2星-战魂,117052,10000,11705202
11705203,征战-第17章-第05关-2星-二级升级材料3,117052,10000,11705203
11705204,,117052,1000,11705204
11705205,,117052,10,11705205
11706201,征战-第17章-第06关-2星-铜币,117062,10000,11706201
11706202,征战-第17章-第06关-2星-战魂,117062,10000,11706202
11707201,征战-第17章-第07关-2星-铜币,117072,10000,11707201
11707202,征战-第17章-第07关-2星-战魂,117072,10000,11707202
11708201,征战-第17章-第08关-2星-铜币,117082,10000,11708201
11708202,征战-第17章-第08关-2星-战魂,117082,10000,11708202
11709201,征战-第17章-第09关-2星-铜币,117092,10000,11709201
11709202,征战-第17章-第09关-2星-战魂,117092,10000,11709202
11709203,征战-第17章-第09关-2星-二级升级材料4-1,117092,10000,11709203
11709204,,117092,1000,11709204
11709205,,117092,10,11709205
11710201,征战-第17章-第10关-2星-铜币,117102,10000,11710201
11710202,征战-第17章-第10关-2星-战魂,117102,10000,11710202
11710203,征战-第17章-第10关-2星-二级升级材料1,117102,10000,11710203
11710204,,117102,1000,11710204
11801201,征战-第18章-第01关-2星-铜币,118012,10000,11801201
11801202,征战-第18章-第01关-2星-战魂,118012,10000,11801202
11802201,征战-第18章-第02关-2星-铜币,118022,10000,11802201
11802202,征战-第18章-第02关-2星-战魂,118022,10000,11802202
11803201,征战-第18章-第03关-2星-铜币,118032,10000,11803201
11803202,征战-第18章-第03关-2星-战魂,118032,10000,11803202
11804201,征战-第18章-第04关-2星-铜币,118042,10000,11804201
11804202,征战-第18章-第04关-2星-战魂,118042,10000,11804202
11805201,征战-第18章-第05关-2星-铜币,118052,10000,11805201
11805202,征战-第18章-第05关-2星-战魂,118052,10000,11805202
11805203,征战-第18章-第05关-2星-二级升级材料3,118052,10000,11805203
11805204,,118052,1000,11805204
11805205,,118052,10,11805205
11806201,征战-第18章-第06关-2星-铜币,118062,10000,11806201
11806202,征战-第18章-第06关-2星-战魂,118062,10000,11806202
11807201,征战-第18章-第07关-2星-铜币,118072,10000,11807201
11807202,征战-第18章-第07关-2星-战魂,118072,10000,11807202
11808201,征战-第18章-第08关-2星-铜币,118082,10000,11808201
11808202,征战-第18章-第08关-2星-战魂,118082,10000,11808202
11809201,征战-第18章-第09关-2星-铜币,118092,10000,11809201
11809202,征战-第18章-第09关-2星-战魂,118092,10000,11809202
11809203,征战-第18章-第09关-2星-二级升级材料4-1,118092,10000,11809203
11809204,,118092,1000,11809204
11809205,,118092,10,11809205
11810201,征战-第18章-第10关-2星-铜币,118102,10000,11810201
11810202,征战-第18章-第10关-2星-战魂,118102,10000,11810202
11810203,征战-第18章-第10关-2星-二级升级材料2,118102,10000,11810203
11810204,,118102,1500,11810204
11901201,征战-第19章-第01关-2星-铜币,119012,10000,11901201
11901202,征战-第19章-第01关-2星-战魂,119012,10000,11901202
11902201,征战-第19章-第02关-2星-铜币,119022,10000,11902201
11902202,征战-第19章-第02关-2星-战魂,119022,10000,11902202
11903201,征战-第19章-第03关-2星-铜币,119032,10000,11903201
11903202,征战-第19章-第03关-2星-战魂,119032,10000,11903202
11904201,征战-第19章-第04关-2星-铜币,119042,10000,11904201
11904202,征战-第19章-第04关-2星-战魂,119042,10000,11904202
11905201,征战-第19章-第05关-2星-铜币,119052,10000,11905201
11905202,征战-第19章-第05关-2星-战魂,119052,10000,11905202
11905203,征战-第19章-第05关-2星-二级升级材料3,119052,10000,11905203
11905204,,119052,1000,11905204
11905205,,119052,10,11905205
11906201,征战-第19章-第06关-2星-铜币,119062,10000,11906201
11906202,征战-第19章-第06关-2星-战魂,119062,10000,11906202
11907201,征战-第19章-第07关-2星-铜币,119072,10000,11907201
11907202,征战-第19章-第07关-2星-战魂,119072,10000,11907202
11908201,征战-第19章-第08关-2星-铜币,119082,10000,11908201
11908202,征战-第19章-第08关-2星-战魂,119082,10000,11908202
11909201,征战-第19章-第09关-2星-铜币,119092,10000,11909201
11909202,征战-第19章-第09关-2星-战魂,119092,10000,11909202
11909203,征战-第19章-第09关-2星-二级升级材料4-1,119092,10000,11909203
11909204,,119092,1000,11909204
11909205,,119092,10,11909205
11910201,征战-第19章-第10关-2星-铜币,119102,10000,11910201
11910202,征战-第19章-第10关-2星-战魂,119102,10000,11910202
11910203,征战-第19章-第10关-2星-二级升级材料4-2,119102,10000,11910203
11910204,,119102,1000,11910204
12001201,征战-第20章-第01关-2星-铜币,120012,10000,12001201
12001202,征战-第20章-第01关-2星-战魂,120012,10000,12001202
12002201,征战-第20章-第02关-2星-铜币,120022,10000,12002201
12002202,征战-第20章-第02关-2星-战魂,120022,10000,12002202
12003201,征战-第20章-第03关-2星-铜币,120032,10000,12003201
12003202,征战-第20章-第03关-2星-战魂,120032,10000,12003202
12004201,征战-第20章-第04关-2星-铜币,120042,10000,12004201
12004202,征战-第20章-第04关-2星-战魂,120042,10000,12004202
12005201,征战-第20章-第05关-2星-铜币,120052,10000,12005201
12005202,征战-第20章-第05关-2星-战魂,120052,10000,12005202
12005203,征战-第20章-第05关-2星-二级升级材料1,120052,10000,12005203
12005204,,120052,1000,12005204
12005205,,120052,10,12005205
12006201,征战-第20章-第06关-2星-铜币,120062,10000,12006201
12006202,征战-第20章-第06关-2星-战魂,120062,10000,12006202
12007201,征战-第20章-第07关-2星-铜币,120072,10000,12007201
12007202,征战-第20章-第07关-2星-战魂,120072,10000,12007202
12008201,征战-第20章-第08关-2星-铜币,120082,10000,12008201
12008202,征战-第20章-第08关-2星-战魂,120082,10000,12008202
12009201,征战-第20章-第09关-2星-铜币,120092,10000,12009201
12009202,征战-第20章-第09关-2星-战魂,120092,10000,12009202
12009203,征战-第20章-第09关-2星-二级升级材料3,120092,10000,12009203
12009204,,120092,1000,12009204
12009205,,120092,10,12009205
12010201,征战-第20章-第10关-2星-铜币,120102,10000,12010201
12010202,征战-第20章-第10关-2星-战魂,120102,10000,12010202
12010203,征战-第20章-第10关-2星-二级升级材料4-2,120102,10000,12010203
12010204,,120102,1500,12010204
12101201,征战-第21章-第01关-2星-铜币,121012,10000,12101201
12101202,征战-第21章-第01关-2星-战魂,121012,10000,12101202
12102201,征战-第21章-第02关-2星-铜币,121022,10000,12102201
12102202,征战-第21章-第02关-2星-战魂,121022,10000,12102202
12103201,征战-第21章-第03关-2星-铜币,121032,10000,12103201
12103202,征战-第21章-第03关-2星-战魂,121032,10000,12103202
12104201,征战-第21章-第04关-2星-铜币,121042,10000,12104201
12104202,征战-第21章-第04关-2星-战魂,121042,10000,12104202
12105201,征战-第21章-第05关-2星-铜币,121052,10000,12105201
12105202,征战-第21章-第05关-2星-战魂,121052,10000,12105202
12105203,征战-第21章-第05关-2星-二级升级材料2,121052,10000,12105203
12105204,,121052,1000,12105204
12105205,,121052,10,12105205
12106201,征战-第21章-第06关-2星-铜币,121062,10000,12106201
12106202,征战-第21章-第06关-2星-战魂,121062,10000,12106202
12107201,征战-第21章-第07关-2星-铜币,121072,10000,12107201
12107202,征战-第21章-第07关-2星-战魂,121072,10000,12107202
12108201,征战-第21章-第08关-2星-铜币,121082,10000,12108201
12108202,征战-第21章-第08关-2星-战魂,121082,10000,12108202
12109201,征战-第21章-第09关-2星-铜币,121092,10000,12109201
12109202,征战-第21章-第09关-2星-战魂,121092,10000,12109202
12109203,征战-第21章-第09关-2星-二级升级材料3,121092,10000,12109203
12109204,,121092,1000,12109204
12109205,,121092,10,12109205
12110201,征战-第21章-第10关-2星-铜币,121102,10000,12110201
12110202,征战-第21章-第10关-2星-战魂,121102,10000,12110202
12110203,征战-第21章-第10关-2星-二级升级材料4-2,121102,10000,12110203
12110204,,121102,1000,12110204
12201201,征战-第22章-第01关-2星-铜币,122012,10000,12201201
12201202,征战-第22章-第01关-2星-战魂,122012,10000,12201202
12202201,征战-第22章-第02关-2星-铜币,122022,10000,12202201
12202202,征战-第22章-第02关-2星-战魂,122022,10000,12202202
12203201,征战-第22章-第03关-2星-铜币,122032,10000,12203201
12203202,征战-第22章-第03关-2星-战魂,122032,10000,12203202
12204201,征战-第22章-第04关-2星-铜币,122042,10000,12204201
12204202,征战-第22章-第04关-2星-战魂,122042,10000,12204202
12205201,征战-第22章-第05关-2星-铜币,122052,10000,12205201
12205202,征战-第22章-第05关-2星-战魂,122052,10000,12205202
12205203,征战-第22章-第05关-2星-二级升级材料2,122052,10000,12205203
12206201,征战-第22章-第06关-2星-铜币,122062,10000,12206201
12206202,征战-第22章-第06关-2星-战魂,122062,10000,12206202
12207201,征战-第22章-第07关-2星-铜币,122072,10000,12207201
12207202,征战-第22章-第07关-2星-战魂,122072,10000,12207202
12208201,征战-第22章-第08关-2星-铜币,122082,10000,12208201
12208202,征战-第22章-第08关-2星-战魂,122082,10000,12208202
12209201,征战-第22章-第09关-2星-铜币,122092,10000,12209201
12209202,征战-第22章-第09关-2星-战魂,122092,10000,12209202
12209203,征战-第22章-第09关-2星-二级升级材料3,122092,10000,12209203
12210201,征战-第22章-第10关-2星-铜币,122102,10000,12210201
12210202,征战-第22章-第10关-2星-战魂,122102,10000,12210202
12210203,征战-第22章-第10关-2星-三级升级材料1,122102,10000,12210203
12210204,,122102,1500,12210204
12301201,征战-第23章-第01关-2星-铜币,123012,10000,12301201
12301202,征战-第23章-第01关-2星-战魂,123012,10000,12301202
12302201,征战-第23章-第02关-2星-铜币,123022,10000,12302201
12302202,征战-第23章-第02关-2星-战魂,123022,10000,12302202
12303201,征战-第23章-第03关-2星-铜币,123032,10000,12303201
12303202,征战-第23章-第03关-2星-战魂,123032,10000,12303202
12304201,征战-第23章-第04关-2星-铜币,123042,10000,12304201
12304202,征战-第23章-第04关-2星-战魂,123042,10000,12304202
12305201,征战-第23章-第05关-2星-铜币,123052,10000,12305201
12305202,征战-第23章-第05关-2星-战魂,123052,10000,12305202
12305203,征战-第23章-第05关-2星-二级升级材料2,123052,10000,12305203
12306201,征战-第23章-第06关-2星-铜币,123062,10000,12306201
12306202,征战-第23章-第06关-2星-战魂,123062,10000,12306202
12307201,征战-第23章-第07关-2星-铜币,123072,10000,12307201
12307202,征战-第23章-第07关-2星-战魂,123072,10000,12307202
12308201,征战-第23章-第08关-2星-铜币,123082,10000,12308201
12308202,征战-第23章-第08关-2星-战魂,123082,10000,12308202
12309201,征战-第23章-第09关-2星-铜币,123092,10000,12309201
12309202,征战-第23章-第09关-2星-战魂,123092,10000,12309202
12309203,征战-第23章-第09关-2星-二级升级材料3,123092,10000,12309203
12310201,征战-第23章-第10关-2星-铜币,123102,10000,12310201
12310202,征战-第23章-第10关-2星-战魂,123102,10000,12310202
12310203,征战-第23章-第10关-2星-三级升级材料1,123102,10000,12310203
12310204,,123102,1000,12310204
12401201,征战-第24章-第01关-2星-铜币,124012,10000,12401201
12401202,征战-第24章-第01关-2星-战魂,124012,10000,12401202
12402201,征战-第24章-第02关-2星-铜币,124022,10000,12402201
12402202,征战-第24章-第02关-2星-战魂,124022,10000,12402202
12403201,征战-第24章-第03关-2星-铜币,124032,10000,12403201
12403202,征战-第24章-第03关-2星-战魂,124032,10000,12403202
12404201,征战-第24章-第04关-2星-铜币,124042,10000,12404201
12404202,征战-第24章-第04关-2星-战魂,124042,10000,12404202
12405201,征战-第24章-第05关-2星-铜币,124052,10000,12405201
12405202,征战-第24章-第05关-2星-战魂,124052,10000,12405202
12405203,征战-第24章-第05关-2星-二级升级材料2,124052,10000,12405203
12406201,征战-第24章-第06关-2星-铜币,124062,10000,12406201
12406202,征战-第24章-第06关-2星-战魂,124062,10000,12406202
12407201,征战-第24章-第07关-2星-铜币,124072,10000,12407201
12407202,征战-第24章-第07关-2星-战魂,124072,10000,12407202
12408201,征战-第24章-第08关-2星-铜币,124082,10000,12408201
12408202,征战-第24章-第08关-2星-战魂,124082,10000,12408202
12409201,征战-第24章-第09关-2星-铜币,124092,10000,12409201
12409202,征战-第24章-第09关-2星-战魂,124092,10000,12409202
12409203,征战-第24章-第09关-2星-二级升级材料3,124092,10000,12409203
12410201,征战-第24章-第10关-2星-铜币,124102,10000,12410201
12410202,征战-第24章-第10关-2星-战魂,124102,10000,12410202
12410203,征战-第24章-第10关-2星-三级升级材料2,124102,10000,12410203
12410204,,124102,1500,12410204
12501201,征战-第25章-第01关-2星-铜币,125012,10000,12501201
12501202,征战-第25章-第01关-2星-战魂,125012,10000,12501202
12502201,征战-第25章-第02关-2星-铜币,125022,10000,12502201
12502202,征战-第25章-第02关-2星-战魂,125022,10000,12502202
12503201,征战-第25章-第03关-2星-铜币,125032,10000,12503201
12503202,征战-第25章-第03关-2星-战魂,125032,10000,12503202
12504201,征战-第25章-第04关-2星-铜币,125042,10000,12504201
12504202,征战-第25章-第04关-2星-战魂,125042,10000,12504202
12505201,征战-第25章-第05关-2星-铜币,125052,10000,12505201
12505202,征战-第25章-第05关-2星-战魂,125052,10000,12505202
12505203,征战-第25章-第05关-2星-二级升级材料2,125052,10000,12505203
12506201,征战-第25章-第06关-2星-铜币,125062,10000,12506201
12506202,征战-第25章-第06关-2星-战魂,125062,10000,12506202
12507201,征战-第25章-第07关-2星-铜币,125072,10000,12507201
12507202,征战-第25章-第07关-2星-战魂,125072,10000,12507202
12508201,征战-第25章-第08关-2星-铜币,125082,10000,12508201
12508202,征战-第25章-第08关-2星-战魂,125082,10000,12508202
12509201,征战-第25章-第09关-2星-铜币,125092,10000,12509201
12509202,征战-第25章-第09关-2星-战魂,125092,10000,12509202
12509203,征战-第25章-第09关-2星-二级升级材料3,125092,10000,12509203
12510201,征战-第25章-第10关-2星-铜币,125102,10000,12510201
12510202,征战-第25章-第10关-2星-战魂,125102,10000,12510202
12510203,征战-第25章-第10关-2星-三级升级材料2,125102,10000,12510203
12510204,,125102,1000,12510204
12601201,征战-第26章-第01关-2星-铜币,126012,10000,12601201
12601202,征战-第26章-第01关-2星-战魂,126012,10000,12601202
12602201,征战-第26章-第02关-2星-铜币,126022,10000,12602201
12602202,征战-第26章-第02关-2星-战魂,126022,10000,12602202
12603201,征战-第26章-第03关-2星-铜币,126032,10000,12603201
12603202,征战-第26章-第03关-2星-战魂,126032,10000,12603202
12604201,征战-第26章-第04关-2星-铜币,126042,10000,12604201
12604202,征战-第26章-第04关-2星-战魂,126042,10000,12604202
12605201,征战-第26章-第05关-2星-铜币,126052,10000,12605201
12605202,征战-第26章-第05关-2星-战魂,126052,10000,12605202
12605203,征战-第26章-第05关-2星-二级升级材料2,126052,10000,12605203
12606201,征战-第26章-第06关-2星-铜币,126062,10000,12606201
12606202,征战-第26章-第06关-2星-战魂,126062,10000,12606202
12607201,征战-第26章-第07关-2星-铜币,126072,10000,12607201
12607202,征战-第26章-第07关-2星-战魂,126072,10000,12607202
12608201,征战-第26章-第08关-2星-铜币,126082,10000,12608201
12608202,征战-第26章-第08关-2星-战魂,126082,10000,12608202
12609201,征战-第26章-第09关-2星-铜币,126092,10000,12609201
12609202,征战-第26章-第09关-2星-战魂,126092,10000,12609202
12609203,征战-第26章-第09关-2星-二级升级材料3,126092,10000,12609203
12610201,征战-第26章-第10关-2星-铜币,126102,10000,12610201
12610202,征战-第26章-第10关-2星-战魂,126102,10000,12610202
12610203,征战-第26章-第10关-2星-三级升级材料3,126102,10000,12610203
12610204,,126102,1500,12610204
12701201,征战-第27章-第01关-2星-铜币,127012,10000,12701201
12701202,征战-第27章-第01关-2星-战魂,127012,10000,12701202
12702201,征战-第27章-第02关-2星-铜币,127022,10000,12702201
12702202,征战-第27章-第02关-2星-战魂,127022,10000,12702202
12703201,征战-第27章-第03关-2星-铜币,127032,10000,12703201
12703202,征战-第27章-第03关-2星-战魂,127032,10000,12703202
12704201,征战-第27章-第04关-2星-铜币,127042,10000,12704201
12704202,征战-第27章-第04关-2星-战魂,127042,10000,12704202
12705201,征战-第27章-第05关-2星-铜币,127052,10000,12705201
12705202,征战-第27章-第05关-2星-战魂,127052,10000,12705202
12705203,征战-第27章-第05关-2星-二级升级材料2,127052,10000,12705203
12706201,征战-第27章-第06关-2星-铜币,127062,10000,12706201
12706202,征战-第27章-第06关-2星-战魂,127062,10000,12706202
12707201,征战-第27章-第07关-2星-铜币,127072,10000,12707201
12707202,征战-第27章-第07关-2星-战魂,127072,10000,12707202
12708201,征战-第27章-第08关-2星-铜币,127082,10000,12708201
12708202,征战-第27章-第08关-2星-战魂,127082,10000,12708202
12709201,征战-第27章-第09关-2星-铜币,127092,10000,12709201
12709202,征战-第27章-第09关-2星-战魂,127092,10000,12709202
12709203,征战-第27章-第09关-2星-二级升级材料3,127092,10000,12709203
12710201,征战-第27章-第10关-2星-铜币,127102,10000,12710201
12710202,征战-第27章-第10关-2星-战魂,127102,10000,12710202
12710203,征战-第27章-第10关-2星-三级升级材料3,127102,10000,12710203
12710204,,127102,1000,12710204
12801201,征战-第28章-第01关-2星-铜币,128012,10000,12801201
12801202,征战-第28章-第01关-2星-战魂,128012,10000,12801202
12802201,征战-第28章-第02关-2星-铜币,128022,10000,12802201
12802202,征战-第28章-第02关-2星-战魂,128022,10000,12802202
12803201,征战-第28章-第03关-2星-铜币,128032,10000,12803201
12803202,征战-第28章-第03关-2星-战魂,128032,10000,12803202
12804201,征战-第28章-第04关-2星-铜币,128042,10000,12804201
12804202,征战-第28章-第04关-2星-战魂,128042,10000,12804202
12805201,征战-第28章-第05关-2星-铜币,128052,10000,12805201
12805202,征战-第28章-第05关-2星-战魂,128052,10000,12805202
12805203,征战-第28章-第05关-2星-二级升级材料2,128052,10000,12805203
12806201,征战-第28章-第06关-2星-铜币,128062,10000,12806201
12806202,征战-第28章-第06关-2星-战魂,128062,10000,12806202
12807201,征战-第28章-第07关-2星-铜币,128072,10000,12807201
12807202,征战-第28章-第07关-2星-战魂,128072,10000,12807202
12808201,征战-第28章-第08关-2星-铜币,128082,10000,12808201
12808202,征战-第28章-第08关-2星-战魂,128082,10000,12808202
12809201,征战-第28章-第09关-2星-铜币,128092,10000,12809201
12809202,征战-第28章-第09关-2星-战魂,128092,10000,12809202
